respondent_id,party_id,V162313,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113
110,Democrat,30,50,15,0,40,40,15,50,30,50,40,15,0,50,50,50,60,50,70,40
111,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,Independent,30,40,50,40,50,60,60,40,60,70,40,60,50,50,50,60,85,50,85,50
113,Democrat,0,70,0,0,40,50,70,85,60,0,40,60,0,85,85,70,100,0,60,0
114,Democrat,30,70,70,70,60,70,60,70,60,70,60,70,70,70,70,70,85,85,70,60
115,Independent,60,30,100,100,70,85,60,40,85,100,40,100,100,100,100,30,85,85,100,100
116,Democrat,30,50,40,50,30,50,50,50,50,50,50,50,50,50,70,50,60,50,60,50
117,Independent,40,50,50,50,40,50,50,50,0,60,15,60,50,70,50,50,85,50,50,40
118,Independent,0,85,0,15,40,70,70,70,85,50,60,70,0,85,85,40,85,50,50,70
119,Republican,10,60,50,50,100,70,60,60,80,60,80,30,0,90,90,NA,90,70,NA,30
120,Independent,30,NA,50,60,40,70,40,40,40,70,40,40,50,70,70,50,60,60,60,50
121,Independent,40,70,60,70,60,60,70,70,60,30,60,NA,60,100,85,15,85,15,NA,85
122,Democrat,40,70,50,0,85,100,100,85,85,70,70,70,15,100,70,85,85,70,100,0
123,Independent,70,0,60,100,100,85,0,0,100,50,50,0,85,0,100,0,50,70,100,85
124,Republican,85,60,70,70,70,100,60,60,85,85,60,40,60,70,60,50,70,70,100,100
125,Independent,70,10,90,90,65,90,20,30,60,100,50,15,75,50,85,10,50,100,80,75
126,Democrat,0,60,60,50,50,50,60,60,50,100,50,50,50,70,85,50,70,85,60,70
127,Democrat,40,100,50,50,30,100,70,100,60,50,70,100,30,100,100,85,100,60,70,50
128,Independent,0,100,70,60,85,85,85,85,60,30,60,85,30,100,85,0,100,0,85,0
129,Republican,50,15,100,100,50,100,15,50,60,100,50,50,100,60,100,0,70,100,100,85
130,Democrat,50,50,40,40,60,70,70,85,60,30,60,60,50,85,85,60,85,40,85,0
131,Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,Republican,NA,85,15,85,50,85,70,70,60,0,70,70,30,85,60,50,85,15,70,70
133,Republican,75,30,85,85,85,85,30,NA,70,100,15,50,85,70,100,15,NA,85,100,70
134,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,Independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,Republican,40,50,70,50,70,NA,30,70,60,50,70,50,70,85,NA,0,60,NA,100,70
137,Independent,0,15,40,50,50,50,40,40,50,50,15,15,30,60,50,0,30,50,85,0
138,Republican,50,85,100,85,85,100,85,85,100,70,85,85,60,100,100,100,100,100,100,NA
139,Republican,60,0,100,100,30,100,50,70,70,100,30,70,85,85,100,30,100,100,100,85
140,Independent,15,NA,50,50,40,60,30,50,60,50,50,50,50,70,60,50,70,40,50,30
141,Republican,NA,60,50,85,100,60,85,40,60,70,50,70,60,60,85,40,50,70,85,100
142,Republican,40,15,60,70,60,60,30,40,40,50,30,40,50,50,50,15,70,50,85,60
143,Independent,40,50,40,40,40,70,50,70,60,85,40,70,70,85,100,60,85,85,85,0
144,Independent,15,60,50,30,70,85,40,60,60,50,60,50,30,70,50,30,85,50,85,30
145,Republican,15,70,60,70,60,70,15,40,70,50,15,70,0,70,70,0,15,50,85,0
146,Independent,0,60,30,30,70,50,15,7,70,50,30,50,0,100,50,60,100,50,100,40
147,Independent,15,50,85,15,0,85,60,85,70,85,0,70,70,85,85,85,100,85,70,30
148,Republican,60,40,70,70,100,85,40,50,70,70,70,50,70,85,85,50,85,50,85,100
149,Republican,85,0,100,100,85,85,30,30,60,100,40,60,100,30,100,0,40,100,100,100
150,Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,Independent,100,30,70,70,50,100,40,60,60,100,15,40,70,85,85,0,60,100,100,70
